18.01.2022 18:48:02
@{Name=OriginClientService; CPU=0; PID=8384}
@{Name=Origin; CPU=0; PID=11312}
@{Name=OneDrive; CPU=0; PID=12776}
@{Name=OriginWebHelperService; CPU=0; PID=4424}
@{Name=QtWebEngineProcess; CPU=0; PID=16584}
@{Name=QcomWlanSrvx64; CPU=0; PID=4316}
@{Name=PnkBstrA; CPU=0; PID=4332}
@{Name=RtkAudUService64; CPU=0; PID=4324}
@{Name=SearchApp; CPU=0; PID=14384}
@{Name=RuntimeBroker#7; CPU=0; PID=8736}
@{Name=RuntimeBroker#6; CPU=0; PID=7792}
@{Name=SearchFilterHost; CPU=0; PID=7372}
@{Name=SecurityHealthService; CPU=0; PID=10812}
@{Name=SearchProtocolHost; CPU=0; PID=19752}
@{Name=SearchIndexer; CPU=0; PID=8276}
@{Name=RuntimeBroker#1; CPU=0; PID=15468}
@{Name=RuntimeBroker; CPU=0; PID=15160}
@{Name=RtkAudUService64#1; CPU=0; PID=8428}
@{Name=RuntimeBroker#2; CPU=0; PID=8088}
@{Name=RuntimeBroker#5; CPU=0; PID=13524}
@{Name=RuntimeBroker#4; CPU=0; PID=8164}
@{Name=RuntimeBroker#3; CPU=0; PID=15840}
@{Name=MoUsoCoreWorker; CPU=0; PID=6168}
@{Name=CBKClientService; CPU=0; PID=4280}
@{Name=Avira.Systray; CPU=0; PID=11232}
@{Name=Avira.ServiceHost; CPU=0; PID=4820}
@{Name=CCXProcess; CPU=0; PID=256}
@{Name=Cortana; CPU=0; PID=7608}
@{Name=Calculator; CPU=0; PID=1984}
@{Name=CPUMetricsServer; CPU=0; PID=1556}
@{Name=AdminService; CPU=0; PID=4252}
@{Name=AMDRSSrcExt; CPU=0; PID=15300}
@{Name=AMDRSServ; CPU=0; PID=8308}
@{Name=AdobeIPCBroker; CPU=0; PID=13720}
@{Name=ApplicationFrameHost; CPU=0; PID=7872}
@{Name=AnyDesk#1; CPU=0; PID=17284}
@{Name=AnyDesk; CPU=0; PID=4268}
@{Name=Discord; CPU=0; PID=16148}
@{Name=HxAccounts; CPU=0; PID=7068}
@{Name=FoxitPDFReaderUpdateService; CPU=0; PID=4360}
@{Name=EpicWebHelper#1; CPU=0; PID=3448}
@{Name=HxOutlook; CPU=0; PID=2804}
@{Name=Microsoft.Photos; CPU=0; PID=10732}
@{Name=Memory Compression; CPU=0; PID=2972}
@{Name=HxTsr; CPU=0; PID=9540}
@{Name=Discord#3; CPU=0; PID=4376}
@{Name=Discord#2; CPU=0; PID=10492}
@{Name=Discord#1; CPU=0; PID=15472}
@{Name=Discord#4; CPU=0; PID=7516}
@{Name=EpicWebHelper; CPU=0; PID=2284}
@{Name=EpicGamesLauncher; CPU=0; PID=17736}
@{Name=Discord#5; CPU=0; PID=6108}
@{Name=SecurityHealthSystray; CPU=0; PID=6960}
@{Name=chrome#18; CPU=0; PID=3220}
@{Name=chrome#17; CPU=0; PID=11888}
@{Name=chrome#16; CPU=0; PID=16292}
@{Name=chrome#19; CPU=0; PID=6748}
@{Name=chrome#22; CPU=0; PID=12364}
@{Name=chrome#21; CPU=0; PID=9744}
@{Name=chrome#20; CPU=0; PID=9020}
@{Name=chrome#11; CPU=0; PID=17696}
@{Name=chrome#10; CPU=0; PID=12168}
@{Name=chrome#9; CPU=0; PID=15212}
@{Name=chrome#12; CPU=0; PID=2668}
@{Name=chrome#15; CPU=0; PID=9444}
@{Name=chrome#14; CPU=0; PID=1932}
@{Name=chrome#13; CPU=0; PID=11768}
@{Name=chrome#23; CPU=0; PID=10608}
@{Name=conhost; CPU=0; PID=14792}
@{Name=cncmd; CPU=0; PID=17472}
@{Name=chrome#31; CPU=0; PID=13960}
@{Name=conhost#1; CPU=0; PID=9128}
@{Name=csrss#1; CPU=0; PID=144}
@{Name=csrss; CPU=0; PID=812}
@{Name=conhost#2; CPU=0; PID=8216}
@{Name=chrome#26; CPU=0; PID=16232}
@{Name=chrome#25; CPU=0; PID=1160}
@{Name=chrome#24; CPU=0; PID=7224}
@{Name=chrome#27; CPU=0; PID=12832}
@{Name=chrome#30; CPU=0; PID=20316}
@{Name=chrome#29; CPU=0; PID=10872}
@{Name=chrome#28; CPU=0; PID=3504}
@{Name=chrome#8; CPU=0; PID=10664}
@{Name=SystemSettings; CPU=0; PID=8684}
@{Name=StartMenuExperienceHost; CPU=0; PID=3664}
@{Name=Spotify#5; CPU=0; PID=12940}
@{Name=TextInputHost; CPU=0; PID=6528}
@{Name=WmiPrvSE; CPU=0; PID=13724}
@{Name=WmiApSrv; CPU=0; PID=2780}
@{Name=Win32Bridge.Server; CPU=0; PID=9176}
@{Name=Spotify; CPU=0; PID=13328}
@{Name=ShellExperienceHost; CPU=0; PID=2276}
@{Name=SgrmBroker; CPU=0; PID=11816}
@{Name=Spotify#1; CPU=0; PID=15096}
@{Name=Spotify#4; CPU=0; PID=5792}
@{Name=Spotify#3; CPU=0; PID=9436}
@{Name=Spotify#2; CPU=0; PID=16312}
@{Name=WmiPrvSE#2; CPU=0; PID=18992}
@{Name=chrome#3; CPU=0; PID=10216}
@{Name=chrome#2; CPU=0; PID=7660}
@{Name=chrome#1; CPU=0; PID=10196}
@{Name=chrome#4; CPU=0; PID=17816}
@{Name=chrome#7; CPU=0; PID=14836}
@{Name=chrome#6; CPU=0; PID=11984}
@{Name=chrome#5; CPU=0; PID=13148}
@{Name=atiesrxx; CPU=0; PID=2492}
@{Name=atieclxx; CPU=0; PID=18092}
@{Name=amdfendrsr; CPU=0; PID=2500}
@{Name=audiodg; CPU=0; PID=16356}
@{Name=chrome; CPU=0; PID=10076}
@{Name=avshadow; CPU=0; PID=8688}
@{Name=avgnt; CPU=0; PID=16732}
